ssid,bssid,security,frequency_mhz,channel,best_signal_dbm,best_signal_percent,best_seen,seen,connected,first_seen,last_seen,from,to,fraction,lat,lon,estimated_lat,estimated_lon,spread_m,estimated_from,estimated_to,estimated_fraction,estimated_spread,barely_pinned
,ap-55808f26cd72,psk,,,-88,24,2026-09-22T19:04:34-03:00,5,,2026-09-22T19:04:34-03:00,2026-09-22T19:04:54-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.056,-33.520144,-58.219738,-33.520185,-58.219821,4,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.148,0.045,yes
,ap-ee0277dfef0d,psk,,,-59,82,2026-09-22T19:04:59-03:00,39,,2026-09-22T19:04:34-03:00,2026-09-22T19:31:37-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.345,-33.520272,-58.219998,-33.520402,-58.220224,23,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.511,0.162,
,ap-3e2c502c4338,psk,,,-58,84,2026-09-22T19:04:59-03:00,35,,2026-09-22T19:04:34-03:00,2026-09-22T19:31:18-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.345,-33.520272,-58.219998,-33.520378,-58.220204,25,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.486,0.198,yes
,ap-f7886b3f7bab,psk,,,-58,84,2026-09-22T19:04:59-03:00,23,,2026-09-22T19:04:34-03:00,2026-09-22T19:30:57-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.345,-33.520272,-58.219998,-33.520346,-58.220149,19,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.513,0.193,yes
,ap-42781ef0ec62,psk,,,-58,84,2026-09-22T19:04:59-03:00,23,,2026-09-22T19:04:49-03:00,2026-09-22T19:31:07-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.345,-33.520272,-58.219998,-33.520356,-58.220168,19,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.515,0.184,yes
,ap-ef7189c3dc3d,psk,2447,8,-86,28,2026-09-22T19:04:59-03:00,13,,2026-09-22T19:04:59-03:00,2026-09-22T19:30:57-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.345,-33.520272,-58.219998,-33.520388,-58.220235,11,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.608,0.118,yes
,ap-f4b5f5fb1c0c,psk,2422,3,-49,100,2026-09-22T19:05:05-03:00,44,,2026-09-22T19:04:34-03:00,2026-09-22T19:31:27-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.440,-33.520314,-58.220083,-33.520393,-58.220222,29,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.463,0.170,
,ap-35b68fb60a0c,psk,2417,2,-50,100,2026-09-22T19:05:11-03:00,63,,2026-09-22T19:04:34-03:00,2026-09-22T19:31:47-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.554,-33.520364,-58.220186,-33.520488,-58.220368,41,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.531,0.199,
,ap-9db1204a3f8a,psk,,,-60,80,2026-09-22T19:05:20-03:00,43,,2026-09-22T19:04:34-03:00,2026-09-22T19:31:32-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.659,-33.520411,-58.220281,-33.520471,-58.220368,29,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.591,0.183,
,ap-bcb1b8d50f03,psk,,,-60,80,2026-09-22T19:05:20-03:00,21,,2026-09-22T19:05:05-03:00,2026-09-22T19:31:18-03:00,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.659,-33.520411,-58.220281,-33.520465,-58.220379,16,Juan Zorrilla de San Martín y Santiago Gadea,Juan Zorrilla de San Martín y José Bonifacio Redruello,0.698,0.113,yes
