ssid,bssid,security,frequency_mhz,channel,best_signal_dbm,best_signal_percent,best_seen,seen,connected,first_seen,last_seen,from,to,fraction,lat,lon,estimated_lat,estimated_lon,spread_m,estimated_from,estimated_to,estimated_fraction,estimated_spread,barely_pinned
sample-ap-18,02:00:00:00:00:12,psk,2412,1,-89,,2026-09-14T17:00:15-03:00,2,,2026-09-14T17:00:10-03:00,2026-09-14T17:00:15-03:00,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.135,-34.903126,-56.156233,-34.903126,-56.156233,0,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.135,0.000,yes
sample-ap-01,02:00:00:00:00:01,psk,2437,6,-69,,2026-09-14T17:00:20-03:00,17,,2026-09-14T17:00:00-03:00,2026-09-14T17:01:20-03:00,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.236,-34.903126,-56.156390,-34.903127,-56.156444,17,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.271,0.122,yes
sample-ap-02,02:00:00:00:00:02,psk,2462,11,-68,,2026-09-14T17:00:45-03:00,26,,2026-09-14T17:00:00-03:00,2026-09-14T17:02:15-03:00,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.386,-34.903127,-56.156624,-34.903127,-56.156737,28,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.405,0.141,
sample-ap-15,02:00:00:00:00:0f,psk,5240,48,-88,,2026-09-14T17:00:55-03:00,9,,2026-09-14T17:00:25-03:00,2026-09-14T17:01:30-03:00,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.429,-34.903127,-56.156691,-34.903128,-56.156733,11,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.456,0.077,yes
sample-ap-03,02:00:00:00:00:03,psk,5180,36,-62,,2026-09-14T17:01:15-03:00,32,,2026-09-14T17:00:00-03:00,2026-09-14T17:02:50-03:00,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.504,-34.903128,-56.156808,-34.903127,-56.156974,38,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.484,0.136,
sample-ap-04,02:00:00:00:00:04,psk,5200,40,-73,,2026-09-14T17:01:30-03:00,40,,2026-09-14T17:00:20-03:00,2026-09-14T17:03:35-03:00,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.709,-34.903129,-56.157127,-34.903124,-56.157539,56,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.590,0.190,yes
sample-ap-13,02:00:00:00:00:0d,psk,5200,40,-83,,2026-09-14T17:01:45-03:00,15,,2026-09-14T17:01:10-03:00,2026-09-14T17:02:20-03:00,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.963,-34.903131,-56.157524,-34.903128,-56.157483,32,Rivera y Avenida Doctor Francisco Soca,Rivera y Brito del Pino,0.719,0.148,yes
sample-ap-05,02:00:00:00:00:05,psk,5220,44,-61,,2026-09-14T17:02:00-03:00,52,,2026-09-14T17:00:05-03:00,2026-09-14T17:04:20-03:00,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.172,-34.903126,-56.157833,-34.903121,-56.157802,54,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.395,0.244,
sample-ap-06,02:00:00:00:00:06,open,5240,48,-68,,2026-09-14T17:02:20-03:00,45,,2026-09-14T17:00:50-03:00,2026-09-14T17:04:40-03:00,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.295,-34.903122,-56.158014,-34.903115,-56.158198,46,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.517,0.201,
sample-ap-16,02:00:00:00:00:10,psk,5745,149,-88,,2026-09-14T17:02:25-03:00,3,,2026-09-14T17:02:25-03:00,2026-09-14T17:03:15-03:00,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.377,-34.903119,-56.158134,-34.903116,-56.158316,18,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.501,0.138,yes
sample-ap-07,02:00:00:00:00:07,psk,5745,149,-63,,2026-09-14T17:03:15-03:00,43,,2026-09-14T17:01:25-03:00,2026-09-14T17:04:55-03:00,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.714,-34.903109,-56.158628,-34.903108,-56.158560,39,Rivera y Brito del Pino,Rivera y Simón Bolívar,0.632,0.206,
